Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15p,
"C10, C11, C12, C13, C14, C15, C3, C4, C6, C8",0402,10,100n,
"C5, C7",0402,2,1u,
C9,0402,1,10u,
J1,MOLEX_2216100001,1,2216100001,
R1,0402,1,1.7,
R2,0402,1,2.2,
R3,0402,1,1k,
"R4, R5",0402,2,27.4,
"R8, R9",0402,2,5.1k,
SWBOOT1,SW_Push_1P1T_NO_CK_KSC6xxG,1,Switch,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,DecaWave_DWM1001,1,DWM1001,
YABM8-272-T1,XTAL_ABM8-272-T3,1,Crystal_GND24,
