Designator,Mid X,Mid Y,Rotation,Layer
C1,105.1,-70.9,90.0,top
C10,117.749,-64.945001,90.0,top
C11,120.4,-73.7,0.0,top
C12,117.7,-76.9,270.0,top
C13,110.1,-70.8,180.0,top
C14,114.144247,-64.965371,90.0,top
C15,120.4,-72.7,0.0,top
C2,108.3,-73.4,90.0,top
C3,120.6,-71.7,0.0,top
C4,121.0,-68.0,0.0,top
C5,110.1,-72.0,180.0,top
C6,120.381252,-70.676499,0.0,top
C7,120.3,-76.3,0.0,top
C8,114.148235,-76.90562,270.0,top
C9,112.8,-76.9,270.0,top
J1,115.33075,-132.2375,0.0,top
R1,116.75,-120.25,90.0,top
R2,119.3,-65.4,180.0,top
R3,121.5,-83.845,90.0,top
R4,120.2,-93.5,0.0,top
R5,115.75,-122.5,90.0,top
R8,113.425,-123.5,270.0,top
R9,117.875,-123.425,90.0,top
SWBOOT1,120.0,-89.0,0.0,top
U1,124.9,-70.7,180.0,top
U2,115.15,-70.475,0.0,top
U3,114.5,-49.5,0.0,top
YABM8-272-T1,107.465,-70.2,180.0,top
