Designator,Mid X,Mid Y,Rotation,Layer
C1,118.5,-61.0,90.0,top
C10,116.295,-60.75,0.0,top
C11,120.469648,-73.106274,0.0,top
C12,120.25,-69.475594,0.0,top
C13,109.445399,-69.47453,180.0,top
C14,114.75,-64.75,90.0,top
C15,114.5,-75.25,180.0,top
C2,113.25,-62.75,90.0,top
C3,113.5,-65.0,180.0,top
C4,110.75,-75.0,0.0,top
C5,115.0,-76.0,180.0,top
C6,109.43,-71.0,180.0,top
C7,112.93,-75.5,0.0,top
C8,109.443075,-73.078383,180.0,top
C9,109.68,-76.0,0.0,top
J1,115.33075,-132.2375,0.0,top
R1,116.75,-120.25,90.0,top
R2,111.25,-78.25,90.0,top
R3,121.5,-83.845,90.0,top
R4,120.2,-93.5,0.0,top
R5,115.75,-122.5,90.0,top
R8,113.425,-123.5,270.0,top
R9,117.875,-123.425,90.0,top
SWBOOT1,120.0,-89.0,0.0,top
U1,117.75,-80.075,90.0,top
U2,115.15,-70.475,270.0,top
U3,114.5,-49.5,0.0,top
YABM8-272-T1,115.75,-61.575,90.0,top
